Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Afghanistan,134,130,196,209,180,218,331,1143,2025,1448,1744,1401,1827,2487,2507,1999,2320,2351,1480,1928,2813,1728,1868,883,1854,1469,1472,1132,2769,1779,2719,2373,2217,1502,1496,1170,1162,1267,1156
Albania,54,38,25,33,44,44,73,49,56,49,47,45,59,87,52,57,44,44,37,51,43,24,13,32,75,66,79,30,58,40,69,67,25,58,37,41,112,60,59
Algeria,239,190,181,122,119,204,168,226,233,502,429,398,698,776,664,476,608,529,626,543,508,416,392,355,489,427,656,243,360,295,442,697,624,690,584,576,707,658,378
Andorra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Angola,8,15,20,7,2,6,11,16,15,25,20,10,13,31,18,48,37,17,33,22,6,3,7,2,26,39,30,19,14,18,9,6,12,25,7,35,19,21,12
Antigua and Barbuda,12,8,3,6,9,8,11,6,21,14,16,8,9,11,15,9,12,8,14,4,13,11,5,3,28,9,14,6,8,8,12,11,2,3,6,6,3,9,4
Argentina,27,20,27,20,23,48,30,41,42,53,47,52,34,31,66,25,30,25,45,38,40,15,12,13,56,54,50,31,45,54,24,37,8,29,19,70,63,43,44
Armenia,7,10,3,5,17,10,8,6,14,3,4,5,19,16,15,5,7,16,20,14,12,9,13,16,27,15,20,9,15,34,25,23,22,31,10,8,27,15,20
Australia,109,121,130,125,154,291,235,225,220,221,201,182,190,136,138,111,120,131,101,99,103,57,54,60,191,211,143,45,118,105,75,96,47,58,57,96,116,85,60
Austria,4,7,6,7,11,15,9,20,15,9,6,10,11,17,12,7,12,5,5,7,13,5,4,6,26,17,9,6,6,6,11,5,2,3,3,5,19,10,3
Azerbaijan,64,42,53,24,25,40,33,23,64,61,46,47,30,37,42,54,26,36,20,32,32,22,13,8,34,26,11,24,22,22,9,16,15,27,35,20,25,12,8
Azores,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
