Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04
Afghanistan,592,566,559,599,499,505,2195,11384,4116,1678,2864,3440,4871,1660,1395,1015,1487,1375,1918,2849,2525,5615,2754,2645,1342,1473,3114,1884,1696,1919,1719,1452,1058,1475,1292,1569,670,668,537,1875
Albania,48,57,96,73,153,56,65,31,43,49,89,75,41,51,41,44,33,39,31,35,36,42,78,122,40,33,56,60,68,42,46,53,53,47,44,57,26,26,15,67
Algeria,358,354,467,315,268,376,356,281,397,691,935,720,272,278,271,257,221,184,127,254,320,435,620,937,588,513,512,394,489,496,621,1601,979,476,436,401,346,465,1553,2364
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,38,43,84,79,80,65,59,97,35,31,76,29,70,73,67,63,51,54,48,69,40,56,50,33,16,39,69,49,58,36,32,43,18,32,18,26,32,20,9,61
Antigua and Barbuda,14,18,10,6,19,14,15,10,7,11,19,18,5,8,10,11,16,14,13,7,12,8,10,8,10,7,1,1,9,4,6,4,2,7,7,16,24,10,7,41
Argentina,21,40,57,28,82,41,60,52,58,41,48,30,28,15,19,19,15,13,24,18,20,34,22,56,47,36,42,32,44,45,41,55,46,49,54,43,23,27,24,74
Armenia,3,18,19,1,9,17,17,14,13,27,45,17,13,12,16,5,5,10,7,1,22,31,38,48,27,17,24,28,16,9,16,16,28,17,19,11,12,13,13,38
Australia,140,154,213,186,253,155,184,103,146,129,105,86,77,84,80,67,88,71,71,70,105,102,102,77,105,89,121,75,97,72,54,113,83,86,94,94,84,74,48,206
Austria,6,10,28,12,14,9,7,10,8,7,8,3,3,9,5,4,9,7,9,14,4,17,17,10,6,4,10,8,9,2,10,8,10,2,5,4,9,11,3,23
Azerbaijan,26,56,70,45,44,24,25,27,31,29,18,29,7,12,21,15,14,21,11,18,9,17,26,22,6,19,19,15,23,26,30,23,11,6,14,33,16,11,6,33
Azores,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahama Islands, The",17,48,39,51,96,77,58,41,60,31,38,22,21,49,31,32,33,44,30,23,27,51,40,52,47,35,48,34,59,40,44,52,42,45,41,44,46,24,4,74
Bahrain,3,0,1,2,6,0,4,2,4,2,5,4,4,1,1,0,0,0,0,3,2,2,3,4,2,5,8,1,0,0,2,4,1,0,1,0,4,10,0,14
Bangladesh,397,526,609,293,1049,539,670,294,311,421,749,553,222,205,336,258,252,220,214,253,238,301,463,684,307,314,356,387,459,348,378,426,319,382,435,450,261,179,130,570
Barbados,14,22,30,38,62,33,45,36,23,21,34,22,16,20,28,22,22,17,15,23,32,12,21,25,27,13,38,15,30,27,20,39,28,27,23,13,20,31,8,59
Belarus,11,18,26,15,21,7,21,13,17,17,29,14,5,16,12,21,12,12,13,15,26,2,37,54,7,24,15,22,22,19,17,18,41,31,33,27,22,18,16,56
Belgium,57,41,42,59,76,60,56,77,58,49,60,54,44,28,32,22,35,9,29,25,41,43,47,28,45,28,52,28,42,38,49,51,43,32,45,51,35,21,54,110
Belize,2,3,7,9,7,19,1,5,21,4,3,0,4,1,2,1,2,3,1,0,6,5,6,6,2,8,1,5,11,3,7,5,1,6,10,7,5,1,1,7
Bermuda,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,4,3,6,3,12,10,19,1,0,2,2,8,1,2,0,0,1,0,0,1,5,1,0,6,3,0,3,2,0,2,4,3,2,2,9,1,0,1,8,9
Bolivia,9,6,13,10,21,13,33,13,22,9,15,14,14,17,14,10,4,10,6,14,6,6,9,2,5,8,14,8,17,17,14,33,20,32,36,32,6,11,14,31
Bosnia-Hercegovina,10,7,7,14,17,6,5,6,15,7,10,8,2,1,5,4,6,5,5,3,6,11,8,5,6,5,7,4,10,6,4,0,4,3,6,3,1,5,1,7
"Botswana, Republic of",3,1,8,3,8,0,10,7,1,0,8,0,2,0,7,5,4,2,0,0,6,0,5,3,1,3,6,4,1,2,1,4,5,4,3,4,5,6,0,11
Brazil,549,765,1256,1234,3941,1242,1176,834,851,686,648,531,300,299,363,295,254,201,302,288,448,449,566,602,465,362,566,453,606,576,534,604,503,514,467,531,514,386,246,1146
Brunei,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2
Bulgaria,14,9,46,28,51,19,13,12,14,10,36,18,5,10,5,13,8,9,4,6,3,14,12,18,3,1,5,6,11,10,2,9,11,12,5,17,7,13,0,20
Burkina-Faso,34,41,46,30,50,50,59,76,42,87,89,84,48,27,47,30,20,43,38,24,36,25,42,73,41,27,53,25,36,43,48,64,70,40,37,27,34,44,85,163
Burundi,115,117,166,242,146,161,163,175,112,141,167,165,43,53,54,69,100,76,65,43,53,62,71,109,66,58,95,93,126,85,109,152,119,98,146,143,75,32,97,204
Cambodia,6,26,27,11,17,16,8,6,3,21,55,88,7,22,9,7,14,9,14,12,26,5,11,34,8,25,21,11,20,22,17,18,10,21,21,22,21,17,14,52
Cape Verde Islands,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Central African Republic,7,4,4,6,29,55,6,21,81,69,3,6,10,17,10,9,1,9,5,17,9,9,17,17,9,2,21,7,29,34,15,24,26,20,13,25,12,19,16,47
"Chad, Republic of",27,36,42,44,62,53,41,33,41,51,65,56,21,61,35,53,40,51,43,49,43,35,15,45,13,14,50,21,25,40,16,54,41,20,32,22,21,9,12,42
Chile,53,62,114,53,202,98,95,86,69,57,69,46,55,37,46,44,56,29,40,41,77,69,53,82,93,72,94,67,118,71,84,81,69,85,96,82,63,51,39,153
Colombia,254,407,630,503,1051,680,713,491,470,545,614,449,370,332,450,411,400,366,367,450,418,486,499,790,447,486,620,521,624,495,523,623,483,568,3924,4566,434,302,167,903
Commonwealth of the Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
Comoros,0,2,0,1,3,1,3,5,1,9,1,7,5,6,0,2,1,3,0,6,0,0,0,0,4,1,0,4,0,2,4,6,1,1,0,6,2,1,1,4
"Congo, Democratic Republic of the",335,343,435,731,502,633,558,551,541,361,523,785,239,191,296,216,185,216,236,355,256,454,424,453,269,250,374,300,291,337,405,352,320,480,564,568,295,311,310,916
"Congo, People's Republic of the",41,34,30,45,40,46,86,36,68,47,45,30,33,32,26,30,30,17,31,12,30,34,28,43,26,35,69,26,19,24,41,34,47,36,27,47,30,26,40,96
Costa Rica,8,21,20,34,43,28,18,24,24,9,16,19,22,13,24,21,17,17,14,26,24,12,20,39,18,16,21,21,19,18,15,18,35,20,20,11,8,18,12,38
Croatia,16,21,39,8,70,25,12,14,25,20,21,17,9,4,9,1,8,9,4,8,6,10,11,12,15,8,8,6,15,2,11,9,6,13,5,13,9,7,4,20
Cuba,47,97,102,85,79,82,75,74,72,101,142,108,90,97,96,103,99,67,81,93,80,83,96,180,135,112,159,79,123,107,116,119,82,124,136,138,94,80,44,218
Cyprus,1,1,7,1,0,1,0,0,1,0,1,0,2,0,1,1,1,1,0,0,1,2,2,1,1,0,0,2,1,4,2,4,0,2,0,1,2,2,1,5
Czech Republic,16,38,47,26,53,16,35,21,16,16,8,8,4,7,8,8,8,17,6,11,22,19,16,12,27,16,28,16,34,19,9,14,13,7,16,9,10,11,12,33
Democratic Republic of Sudan,113,160,188,202,219,166,139,161,191,112,234,260,47,51,41,64,57,59,39,69,58,137,110,120,73,31,102,76,197,137,132,253,187,220,276,250,192,2594,87,2873
Denmark,3,10,10,13,11,3,5,17,2,4,1,7,4,2,4,7,11,3,7,3,6,5,8,3,8,1,9,5,11,2,9,8,1,7,4,1,5,6,6,17
Dominica,8,3,7,4,18,4,9,5,1,4,3,8,3,3,0,1,8,2,8,6,6,7,6,2,5,6,12,7,14,2,4,4,8,0,8,4,4,2,6,12
Dominican Republic,74,88,114,116,189,73,103,69,62,82,86,99,57,62,90,87,65,56,78,78,97,66,75,93,69,68,91,84,96,61,88,83,121,97,89,112,86,75,62,223
"East Timor, Democratic Republic of",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,25,44,56,50,204,63,64,49,56,47,71,50,47,33,41,31,31,30,53,30,74,72,67,114,93,48,72,59,52,66,57,47,72,56,62,95,43,39,27,109
Egypt,251,342,283,245,475,262,245,212,217,250,429,357,148,156,183,102,116,142,89,178,167,233,248,415,163,210,265,165,283,251,192,237,185,209,187,287,164,121,148,433
El Salvador,31,84,110,113,134,79,52,80,52,56,67,75,53,47,75,62,69,71,71,86,38,53,72,72,36,56,71,50,60,61,94,57,42,49,114,68,36,31,23,90
Equatorial Guinea,1,0,0,1,1,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,1,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
