Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Afghanistan,24,22,17,18,37,39,52,15,20,6,18,57,22,17,32,30,12,20,28,43,54,19,35,32,14,29,14,17,9,9,17,22,20,21,34,12,177,12,16
Albania,55,33,28,35,20,89,74,51,26,51,60,55,41,14,27,1,Missing,91,124,57,25,57,82,62,29,37,30,27,54,74,69,46,23,64,45,40,24,24,17
Algeria,2785,426,273,444,292,694,1450,1156,632,815,1467,1011,979,863,992,433,679,654,975,1731,1490,806,953,1530,921,1208,1138,916,2224,1852,733,1502,2383,4860,6093,1774,2725,1527,852
Andorra,Missing,Missing,Missing,1,Missing,3,Missing,3,4,Missing,Missing,1,Missing,Missing,1,Missing,1,Missing,3,2,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,1,Missing,Missing,Missing,Missing
Angola,3,1,1,4,2,8,14,7,3,8,6,1,11,5,7,3,17,7,15,16,15,11,4,13,11,7,18,3,12,21,6,21,15,14,13,4,14,4,17
Antigua and Barbuda,1,2,4,3,1,7,11,4,7,6,10,5,6,Missing,3,1,9,11,11,12,4,7,2,3,5,3,1,4,12,9,10,7,5,2,2,6,3,5,1
Argentina,70,23,64,69,92,79,54,109,44,34,29,46,26,22,43,57,32,111,63,81,56,13,60,15,41,35,57,31,48,50,30,27,26,30,26,17,25,22,20
Armenia,4,3,2,4,5,15,8,19,13,9,6,6,3,7,1,Missing,6,4,3,4,21,8,11,7,7,3,8,3,5,12,3,13,11,2,9,8,2,1,Missing
Aruba,1,Missing,Missing,2,1,Missing,1,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Australia,15,17,22,18,19,22,18,32,33,14,10,20,10,3,13,13,26,42,55,34,9,12,27,29,12,7,8,13,27,55,61,49,10,6,28,15,3,6,9
Austria,6,3,11,7,43,40,20,44,21,14,39,40,23,Missing,6,10,15,17,21,15,8,3,5,2,4,8,2,6,8,19,18,8,1,Missing,10,2,2,2,4
Azerbaijan,16,15,23,11,27,28,47,22,29,24,44,27,14,40,6,30,13,24,3,9,223,5,47,102,80,21,58,35,136,79,76,115,47,187,363,52,119,97,68
"Bahama Islands, The",28,26,49,34,50,63,50,83,104,50,43,93,23,30,20,42,62,108,50,109,46,23,28,46,36,26,27,20,35,108,68,75,35,11,29,14,17,14,7
Bahrain,Missing,Missing,1,Missing,9,8,1,7,6,2,7,1,4,6,5,8,7,Missing,4,4,3,2,1,Missing,3,Missing,2,5,1,7,6,Missing,2,2,Missing,1,1,1,Missing
Bangladesh,870,659,507,653,416,891,1268,991,482,437,417,758,632,424,324,132,218,946,1629,1593,1541,759,1286,1356,753,893,1231,696,855,1158,2709,1833,470,1805,1790,569,1405,1807,1234
Barbados,5,2,10,27,18,30,15,35,31,12,18,17,10,Missing,9,15,20,32,32,34,7,15,16,7,14,5,16,16,46,46,50,30,10,9,26,6,7,7,5
Belarus,4,4,2,8,12,12,14,31,4,5,9,9,5,3,2,1,5,3,5,10,22,10,9,7,7,4,4,1,10,10,9,11,9,14,4,9,2,2,8
Belgium,28,27,32,35,54,59,194,371,160,31,40,65,18,15,11,21,74,130,182,69,19,18,20,21,34,16,8,16,63,138,121,45,26,16,22,10,18,8,19
Belize,4,1,1,1,5,3,7,17,7,4,7,9,4,4,Missing,2,2,6,6,10,4,2,2,9,Missing,1,2,8,5,11,10,6,5,5,Missing,3,1,6,Missing
Bermuda,1,2,Missing,2,4,8,4,18,17,1,1,1,2,Missing,Missing,2,3,Missing,Missing,5,1,Missing,1,Missing,1,1,Missing,2,4,1,3,Missing,1,1,1,Missing,Missing,1,Missing
Bhutan,6,7,18,12,5,3,7,46,27,4,81,45,20,4,10,23,23,35,38,31,66,20,35,16,30,20,66,78,39,148,168,94,73,20,242,237,134,9,76
Bolivia,12,2,10,13,11,26,31,68,17,19,34,36,12,10,23,22,23,37,47,52,7,13,8,21,10,26,43,19,42,32,28,42,12,17,13,6,13,16,15
Bosnia-Hercegovina,4,4,3,5,3,8,11,12,8,2,8,3,5,6,6,Missing,Missing,Missing,1,20,19,5,2,5,1,9,8,4,2,5,5,6,2,2,2,2,2,4,3
"Botswana, Republic of",3,Missing,Missing,1,Missing,6,6,6,2,4,5,1,2,3,1,1,2,Missing,10,17,4,4,2,Missing,3,3,5,6,5,10,7,30,5,3,7,1,1,2,2
Brazil,318,455,273,266,456,635,1371,1668,1313,601,1143,578,344,857,503,741,1232,1291,885,1178,655,437,835,803,750,344,776,555,1195,892,850,987,585,701,577,488,423,352,431
British Indian Ocean Territory,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Brunei,1,Missing,Missing,Missing,Missing,2,3,1,4,Missing,Missing,3,1,Missing,1,Missing,1,1,4,4,1,Missing,1,1,Missing,Missing,Missing,Missing,1,1,2,2,1,1,Missing,Missing,1,Missing,Missing
