Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Afghanistan,103,88,81,70,54,78,58,59,56,68,69,95,129,130,119,115,126,113,140,173,144,141,138,156,172,335,570,625,307,403,214,242,284,251,290,251,285,409,317
Albania,233,175,207,175,149,181,171,249,176,252,203,180,232,231,278,88,149,170,260,229,239,307,367,590,244,420,709,354,632,410,414,527,335,412,520,363,592,435,380
Algeria,914,953,792,512,521,514,900,783,1128,769,1090,1137,921,1579,1309,1449,1123,1732,1662,2352,1719,1514,2163,2359,2623,2433,3556,3152,11082,7923,4458,4170,3776,4250,3800,4995,7924,6862,4346
Andorra,1,1,1,3,1,4,1,3,2,Missing,1,1,2,1,6,1,4,1,3,4,1,2,Missing,1,Missing,2,Missing,1,2,3,1,2,2,1,3,1,2,1,3
Angola,78,76,90,79,56,44,45,45,56,41,71,54,77,69,92,109,108,123,129,127,140,155,133,93,129,128,181,242,166,192,75,147,128,87,92,75,60,79,96
Antigua and Barbuda,17,22,24,21,24,28,40,22,31,36,25,36,30,22,49,46,42,26,37,107,39,198,207,77,160,54,70,68,123,92,58,49,40,26,38,23,26,22,32
Argentina,249,161,240,190,199,251,199,246,172,214,285,354,351,513,643,631,711,607,1240,1101,682,1721,1034,725,927,893,1025,1360,1288,933,555,497,397,385,341,286,347,391,410
Armenia,57,39,48,31,54,31,33,41,90,54,40,30,57,55,79,82,39,75,39,49,89,121,77,92,62,85,123,93,324,175,93,102,77,226,208,162,195,93,123
Aruba,1,Missing,Missing,1,1,Missing,1,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2,Missing,Missing,1,Missing,Missing,1,Missing
Australia,717,465,565,538,514,434,371,414,365,356,522,536,450,642,874,628,769,800,913,1324,1097,718,574,376,416,655,907,442,1327,1411,1206,1078,833,725,588,298,484,768,803
Austria,63,47,60,50,87,91,49,89,55,40,75,55,40,17,25,19,36,90,106,67,83,56,49,27,50,82,52,32,53,65,68,50,30,25,29,26,43,69,68
Azerbaijan,93,66,86,62,32,79,62,72,62,50,79,52,56,106,99,125,131,116,71,69,143,186,81,242,83,182,333,87,283,177,162,217,92,187,297,192,148,162,227
"Bahama Islands, The",165,154,187,140,170,226,170,183,206,144,107,118,118,113,133,128,194,233,199,262,172,176,178,217,226,159,167,134,165,199,199,212,235,170,164,127,145,149,142
