Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04
Afghanistan,178,156,163,142,140,192,151,353,576,798,488,431,404,471,627,709,644,585,532,840,910,1438,751,540,496,666,1174,806,612,746,685,608,730,702,782,588,731,685,655,2071
Albania,203,201,261,276,387,312,326,311,323,381,506,389,316,385,544,516,597,542,418,374,420,510,483,392,451,459,487,484,576,521,528,481,495,595,567,505,570,539,659,1768
Algeria,1172,1251,1566,1443,2320,2370,2333,2070,1879,2414,2953,2800,2442,2646,3766,3909,5325,7092,6114,5514,4797,5991,6167,5916,4858,5401,6265,6017,11053,14255,17044,18333,15530,17773,16563,15136,11232,12326,14207,37765
Andorra,2,1,0,4,5,3,2,1,2,0,2,2,2,5,6,3,2,4,1,3,1,2,2,0,1,2,3,1,2,5,4,1,3,1,3,1,5,4,1,10
Angola,62,63,113,98,86,75,92,109,102,119,109,89,116,163,171,178,156,162,162,124,197,139,169,121,171,202,278,294,230,317,224,320,252,248,232,148,214,224,218,656
Antigua and Barbuda,21,20,28,30,42,57,70,36,38,43,57,53,33,42,103,118,83,266,421,82,79,71,76,64,69,88,99,107,150,100,68,43,27,45,46,38,37,53,42,132
Argentina,264,298,385,303,454,301,350,333,396,427,524,535,584,668,1150,1448,1705,1286,1215,1211,951,961,908,768,1206,1138,1406,1398,1451,755,571,438,488,429,381,380,499,521,629,1649
Armenia,50,37,87,54,98,84,76,73,81,94,107,60,72,79,231,323,240,221,158,138,167,160,131,114,144,179,177,176,135,174,156,125,157,209,174,166,163,228,208,599
Aruba,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,2
Australia,379,403,488,544,586,506,521,537,569,556,990,366,523,1067,957,769,1037,1014,966,1073,869,688,363,297,1299,1164,976,1094,1099,1158,1071,1091,724,738,373,258,1313,1165,758,3236
Austria,45,46,59,76,138,67,57,59,41,50,67,57,35,22,47,49,157,93,55,73,61,55,38,33,89,71,51,39,45,96,53,46,29,43,27,22,108,78,52,238
Azerbaijan,64,82,100,115,155,120,119,119,106,97,97,103,122,102,312,388,347,322,263,284,259,295,246,243,282,304,421,388,493,492,555,410,362,378,411,357,374,272,249,895
"Bahama Islands, The",139,149,173,188,349,202,306,165,151,155,134,140,181,191,219,168,323,284,296,229,205,171,209,198,180,188,207,234,293,251,267,220,246,177,144,131,195,160,137,492
Bahrain,12,18,18,18,37,33,26,25,27,21,28,21,36,45,67,66,94,67,67,48,48,62,43,37,50,65,79,78,118,89,97,65,48,41,42,38,47,73,91,211
Bangladesh,1709,1616,2136,1849,2989,3010,2383,2225,2719,3474,3560,3178,3460,3287,4192,4968,4818,5376,3829,4005,4237,4610,4608,3888,4787,5278,6435,6085,9429,11577,10620,14098,16171,21192,23785,22477,24537,20988,21862,67387
Barbados,59,75,101,77,163,140,114,89,72,92,86,78,90,108,141,124,186,166,133,133,106,114,101,88,119,155,157,167,179,163,164,114,136,137,107,99,149,184,157,490
Belarus,47,48,84,44,77,91,113,53,79,64,99,97,48,75,470,403,408,352,228,232,165,198,189,199,197,198,257,160,171,164,208,111,97,89,117,97,131,152,187,470
Belgium,149,149,202,215,681,338,274,247,166,152,203,148,205,505,286,240,367,362,334,276,220,279,165,132,356,308,221,280,350,362,242,233,329,201,142,126,485,306,223,1014
Belize,20,11,23,33,45,42,30,27,24,32,32,30,38,41,47,79,86,83,103,62,70,62,51,24,62,63,84,99,96,83,71,52,58,64,48,53,95,84,95,274
Bermuda,1,1,1,2,12,10,4,9,0,1,2,2,0,0,1,2,1,0,3,4,2,0,1,1,2,0,4,6,5,2,7,3,2,2,1,2,1,1,1,3
Bhutan,18,33,62,29,46,56,66,74,63,90,91,45,54,47,37,53,105,81,116,104,98,67,134,83,131,175,160,148,458,343,262,359,424,463,338,438,369,236,249,854
Bolivia,40,46,68,66,112,97,93,57,95,130,86,114,103,117,164,198,214,221,180,134,135,145,143,115,161,163,234,236,263,243,217,226,199,187,179,182,225,183,287,695
Bosnia-Hercegovina,35,41,49,30,35,37,34,43,41,47,39,48,36,45,82,73,95,76,70,43,63,59,56,43,82,83,120,90,92,91,105,58,66,71,70,76,75,125,108,308
