Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Algeria,30,50,42,18,21,19,37,44,524,162,423,320,305,1011,573,909,562,857,617,685,585,459,987,724,1195,811,2271,2369,8782,6216,2872,2607,1773,1464,1408,2416,5113,4876,2327
Bangladesh,65,48,128,49,40,97,103,591,628,764,830,1078,811,839,738,678,380,1307,376,1074,1159,499,2035,4140,1156,1881,3405,2188,4174,2299,3808,4260,4054,5243,8031,5403,4795,3770,3324
Brazil,29,71,49,39,41,86,120,158,161,359,691,254,658,829,728,1107,1001,225,201,272,153,1435,1885,3384,1131,866,1427,994,1305,1527,1212,1121,1047,1141,1054,840,1318,900,1417
Colombia,68,69,51,43,41,64,63,420,707,742,1405,950,1010,1713,3001,1807,1030,326,744,945,615,4612,5730,5013,1430,2426,2580,1629,3313,3435,3921,3368,2828,4575,3547,2771,2949,3713,3988
Dominican Republic,26,16,6,10,5,10,22,56,40,70,161,193,248,239,343,178,169,151,179,146,56,991,644,922,521,591,501,340,628,685,480,706,901,774,1107,598,570,659,1224
Ecuador,5,29,22,6,15,15,18,128,126,133,235,192,179,386,579,391,205,56,278,265,133,754,920,921,316,445,405,317,699,1216,333,628,1754,640,441,473,571,431,827
Egypt,37,64,131,61,74,35,65,170,259,248,484,433,333,801,723,305,258,298,213,268,324,890,1105,717,440,1036,1122,1320,1243,1060,629,817,605,595,651,604,789,919,1307
Federal Republic of Cameroon,32,35,32,36,39,56,46,69,309,166,265,211,150,384,357,133,231,381,327,339,148,298,417,561,746,404,511,1622,1134,905,579,468,450,452,483,789,919,672,641
Ghana,17,15,14,16,10,11,16,160,146,76,338,139,299,305,337,156,189,254,231,311,136,687,437,406,302,1197,729,3358,1491,1948,2411,2052,808,854,1251,1611,3648,2894,1919
Haiti,14,12,30,11,3,3,5,38,99,58,119,133,206,172,279,108,114,209,205,82,58,178,1012,688,799,417,457,867,512,412,176,934,1123,903,1556,933,500,695,973
India,786,877,801,795,417,414,3137,19345,17762,11716,18181,12693,21269,29100,28604,18016,27247,30241,26443,31262,28288,28293,32748,44237,41741,46463,47336,37781,57411,64532,50610,44843,47215,43023,48780,38226,58588,53043,61427
Iran,283,330,420,387,312,199,196,773,3410,2506,3089,3510,4120,2182,2890,2501,2832,1990,2283,3618,3330,3940,4432,2763,4246,4364,4566,2216,4223,7261,5568,3877,3876,4717,6411,6003,6759,7754,3732
Jamaica,23,21,25,11,4,22,38,174,194,163,434,267,224,780,566,216,246,234,405,391,304,1796,2454,953,4067,2476,2120,1127,2233,3330,2206,2366,1658,1777,3206,2672,1494,1473,1865
Jordan,34,22,84,67,35,35,31,63,132,200,332,230,302,250,279,226,346,439,184,583,277,413,334,154,333,1095,1054,1298,763,510,720,450,282,611,440,341,283,545,776
Lebanon,74,105,122,64,89,53,37,78,343,303,614,291,416,2263,1866,579,627,372,214,456,607,523,923,905,564,1354,1412,1333,1029,1128,1223,1054,472,1091,2152,1289,647,964,743
Malaysia,26,9,26,6,15,18,15,66,55,113,189,182,152,144,117,261,184,555,171,405,259,186,1197,1032,403,566,1432,835,1223,810,685,629,477,355,476,377,613,657,1041
Mexico,7,15,4,13,4,32,2,Missing,2,32,15,25,9,20,9,7,10,7,5,4,8,13,12,8,5,12,10,7,9,11,2,2,8,16,18,14,1,7,5601
Morocco,73,88,92,54,134,62,165,184,931,652,886,608,613,808,971,426,1153,549,566,390,787,1686,992,3730,1968,1548,3099,3184,2155,2789,1173,1162,1700,1114,1170,2192,1867,2200,1956
Nigeria,255,279,289,127,208,147,270,726,658,599,1756,1561,579,957,1346,1571,874,1807,669,1462,848,3289,1734,3559,5904,2593,2390,17233,13254,8984,5950,5863,4394,4491,5719,2729,4804,5316,5243
Pakistan,133,185,101,153,41,80,156,244,365,925,1344,1068,457,1325,1727,360,332,466,434,725,542,4027,4507,3079,3454,5476,6163,3861,4542,3557,2817,3075,2642,4002,2672,1436,3004,3479,4431
People's Republic of China,165,141,254,482,1169,316,588,5645,7866,3980,5027,4598,6548,5034,5340,3521,4731,6259,5652,8756,7495,7690,10893,10551,11213,12164,16542,17078,21739,22961,19618,17901,21057,20292,24001,18603,22640,18223,18985
Peru,21,24,25,12,23,50,32,116,187,423,526,474,602,448,978,575,1294,364,606,555,253,1374,1785,1046,1097,806,945,825,1309,2241,1043,1416,1001,559,784,661,860,1089,1202
